date,price,volume,change_rate
2013-05-01,158.28,138772621.0,-0.8767535070140275
2013-05-02,159.75,96336318.0,0.9287338893100738
2013-05-03,161.37,143979238.0,1.0140845070422566
2013-05-06,161.78,66750706.0,0.25407448720331516
2013-05-07,162.6,89948203.0,0.5068611694894365
2013-05-08,163.34,97023107.0,0.4551045510455154
2013-05-09,162.88,106566417.0,-0.28162115832007784
2013-05-10,163.41,103075824.0,0.32539292730844327
2013-05-13,163.54,81688029.0,0.07955449482894839
2013-05-14,165.23,118798711.0,1.0333863275039823
2013-05-15,166.12,120608462.0,0.5386431035526273
2013-05-16,165.34,109779806.0,-0.4695400915001202
2013-05-17,166.94,129718215.0,0.9677029152050265
2013-05-20,166.93,85006385.0,-0.005990176111170253
2013-05-21,167.17,95701008.0,0.1437728389145132
2013-05-22,165.93,243639217.0,-0.7417598851468421
2013-05-23,165.45,210803037.0,-0.2892786114626733
2013-05-24,165.31,151527477.0,-0.08461770927772339
2013-05-28,166.3,143410276.0,0.5988748412074418
2013-05-29,165.22,160214092.0,-0.6494287432351253
2013-05-30,165.83,106551037.0,0.3692046967679552
2013-05-31,163.45,176380148.0,-1.4352047277332303
2013-06-03,164.35,167962719.0,0.5506271030896404
2013-06-04,163.56,157537197.0,-0.48068147246729254
2013-06-05,161.27,211235847.0,-1.4000978234287031
2013-06-06,162.73,200064681.0,0.9053140695727491
2013-06-07,164.8,185761019.0,1.272045719904158
2013-06-10,164.8,102542965.0,0.0
2013-06-11,163.1,159379607.0,-1.0315533980582603
2013-06-12,161.75,176962186.0,-0.8277130594727122
2013-06-13,164.21,163201480.0,1.5208655332302978
2013-06-14,163.18,141018099.0,-0.6272456001461535
2013-06-17,164.44,136114269.0,0.772153450177715
2013-06-18,165.74,114592356.0,0.7905619070785797
2013-06-19,163.45,205916944.0,-1.3816821527694145
2013-06-20,159.4,320785551.0,-2.477821963903326
2013-06-21,159.07,271424782.0,-0.20702634880803705
2013-06-24,157.06,221849792.0,-1.2635946438674717
2013-06-25,158.57,161987972.0,0.9614160193556653
